Title,Rating,Votes,Duration
1. Solo Leveling,8.5, (60K),TV-MA
2. Kraven the Hunter,5.4, (47K),2h 7m
3. The Day of the Jackal,8.2, (88K),TV-MA
4. Twisters,6.5, (161K),2h 2m
5. Gladiator II,6.5, (219K),2h 28m
6. Fallout,8.3, (302K),TV-MA
7. Sonic the Hedgehog 3,6.9, (53K),1h 50m
8. Pushpa: The Rule - Part 2,6.1, (54K),3h 21m
9. Shōgun,8.6, (211K),TV-MA
10. Venom: The Last Dance,6.0, (109K),1h 50m
11. Dune: Part Two,8.5, (615K),2h 46m
12. The Ministry of Ungentlemanly Warfare,6.8, (132K),2h 2m
13. Black Doves,7.2, (59K),TV-MA
14. Deadpool & Wolverine,7.6, (482K),2h 8m
15. Dune: Prophecy,7.3, (51K),TV-MA
16. The Gentlemen,8.0, (159K),TV-MA
17. Furiosa: A Mad Max Saga,7.5, (281K),2h 28m
18. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),2h 14m
19. Borderlands,4.7, (46K),1h 41m
20. Civil War,7.0, (233K),1h 49m
21. Elevation,5.6, (20K),1h 31m
22. The Beekeeper,6.3, (153K),1h 45m
23. Solo Leveling: ReAwakening,8.8, (8.6K),2h 1m
24. Carry-On,6.5, (161K),1h 59m
25. The Count of Monte-Cristo,7.6, (33K),2h 58m
26. The Fall Guy,6.8, (217K),2h 6m
27. William Tell,5.8, (1.9K),2h 13m
28. Dandadan,8.4, (29K),TV-MA
29. Skeleton Crew,7.1, (33K),TV-PG
30. Hellboy: The Crooked Man,4.5, (12K),1h 39m
31. Agatha All Along,7.2, (74K),TV-14
32. Rebel Ridge,6.8, (86K),2h 11m
33. Secret Level,7.4, (25K),TV-14
34. Damsel,6.1, (108K),1h 50m
35. Marco,6.9, (20K),2h 25m
36. Cross,7.2, (25K),TV-MA
37. Masters of the Air,7.8, (63K),TV-MA
38. Homestead,5.4, (3.4K),1h 52m
39. Rescue: HI-Surf,6.6, (1.9K),TV-14
40. The Crow,4.7, (33K),1h 51m
41. Road House,6.2, (166K),2h 1m
42. Transformers One,7.6, (48K),1h 44m
43. Red One,6.3, (138K),2h 3m
44. Argylle,5.6, (92K),2h 19m
45. Avatar: The Last Airbender,7.2, (79K),TV-PG
46. Kingdom of the Planet of the Apes,6.9, (150K),2h 25m
47. The Killer's Game,5.8, (16K),1h 44m
48. X-Men '97,8.8, (43K),TV-14
49. Freaky Tales,6.5, (377),1h 46m
50. Madame Web,4.0, (99K),1h 56m
51. Bad Boys: Ride or Die,6.5, (98K),1h 55m
52. The Acolyte,4.2, (131K),TV-14
53. Old Guy,5.1, (1.9K),1h 34m
54. Godzilla x Kong: The New Empire,6.1, (120K),1h 55m
55. Love Lies Bleeding,6.6, (56K),1h 44m
56. Thelma,7.0, (22K),1h 38m
57. Creature Commandos,7.8, (17K),TV-MA
58. Dragon Ball Daima,7.9, (15K),TV-14
59. Land of Bad,6.6, (50K),1h 53m
60. Kaiju No. 8,8.3, (18K),TV-MA
61. Dirty Angels,4.3, (3.2K),1h 44m
62. Mr. & Mrs. Smith,7.0, (50K),TV-MA
63. Aftermath,5.1, (3.6K),1h 37m
64. Law & Order Toronto: Criminal Intent,7.1, (1.3K),N/A
65. Monkey Man,6.8, (90K),2h 1m
66. Blitz,6.2, (16K),2h
67. Homestead: The Series,5.8, (288),N/A
68. The Union,5.4, (52K),1h 47m
69. Uglies,4.7, (32K),1h 40m
70. Cash Out,4.8, (2.8K),1h 32m
71. Survive,4.6, (2.1K),1h 30m
72. Azrael,5.4, (10K),1h 26m
73. Drive-Away Dolls,5.4, (23K),1h 24m
74. Kung Fu Panda 4,6.3, (67K),1h 34m
75. The Killer,5.7, (12K),2h 6m
76. Those About to Die,6.7, (20K),N/A
