Title,Rating,Votes,Duration
1. Solo Leveling,8.5, (60K),TV-MA
2. Moana 2,6.7, (91K),1h 40m
3. Flow,7.9, (62K),1h 25m
4. Twisters,6.5, (161K),2h 2m
5. Gladiator II,6.5, (219K),2h 28m
6. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (2.7K),1h 31m
7. Fallout,8.3, (302K),TV-MA
8. Sonic the Hedgehog 3,6.9, (53K),1h 50m
9. Mufasa: The Lion King,6.6, (48K),1h 58m
10. Shōgun,8.6, (211K),TV-MA
11. Venom: The Last Dance,6.0, (109K),1h 50m
12. Dune: Part Two,8.5, (615K),2h 46m
13. Deadpool & Wolverine,7.6, (482K),2h 8m
14. Dune: Prophecy,7.3, (51K),TV-MA
15. Paddington in Peru,6.7, (18K),1h 46m
16. Furiosa: A Mad Max Saga,7.5, (281K),2h 28m
17. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),2h 14m
18. Borderlands,4.7, (46K),1h 41m
19. 3 Body Problem,7.5, (161K),TV-MA
20. Civil War,7.0, (233K),1h 49m
21. Despicable Me 4,6.2, (63K),1h 34m
22. Solo Leveling: ReAwakening,8.8, (8.6K),2h 1m
23. The Count of Monte-Cristo,7.6, (33K),2h 58m
24. Inside Out 2,7.5, (212K),1h 36m
25. Dandadan,8.4, (29K),TV-MA
26. Skeleton Crew,7.1, (33K),TV-PG
27. Agatha All Along,7.2, (74K),TV-14
28. Secret Level,7.4, (25K),TV-14
29. Damsel,6.1, (108K),1h 50m
30. Transformers One,7.6, (48K),1h 44m
31. Red One,6.3, (138K),2h 3m
32. Avatar: The Last Airbender,7.2, (79K),TV-PG
33. Kingdom of the Planet of the Apes,6.9, (150K),2h 25m
34. X-Men '97,8.8, (43K),TV-14
35. The Return,6.2, (7.6K),1h 56m
36. Freaky Tales,6.5, (377),1h 46m
37. Madame Web,4.0, (99K),1h 56m
38. Bad Boys: Ride or Die,6.5, (98K),1h 55m
39. The Count of Monte Cristo,7.8, (4K),N/A
40. The Acolyte,4.2, (131K),TV-14
41. Godzilla x Kong: The New Empire,6.1, (120K),1h 55m
42. Love Lies Bleeding,6.6, (56K),1h 44m
43. Creature Commandos,7.8, (17K),TV-MA
44. Dragon Ball Daima,7.9, (15K),TV-14
45. Ghostbusters: Frozen Empire,6.1, (92K),1h 55m
46. Kaiju No. 8,8.3, (18K),TV-MA
47. Night of the Zoopocalypse,6.3, (354),1h 31m
48. Wallace & Gromit: Vengeance Most Fowl,7.5, (33K),1h 22m
49. Uglies,4.7, (32K),1h 40m
50. Spaceman,5.7, (42K),1h 47m
51. Survive,4.6, (2.1K),1h 30m
52. Harold and the Purple Crayon,5.7, (8K),1h 30m
53. Kung Fu Panda 4,6.3, (67K),1h 34m
54. Attack on Titan the Movie: The Last Attack,9.2, (14K),2h 25m
55. Delicious in Dungeon,8.0, (9.8K),TV-MA
56. The Garfield Movie,5.7, (24K),1h 41m
57. Territory,6.9, (6.2K),TV-MA
58. Kalki 2898 AD,7.0, (66K),3h
59. Twilight of the Gods,7.3, (8.7K),TV-MA
60. Knuckles,6.2, (8.5K),TV-PG
61. Descendants: The Rise of Red,4.7, (6.9K),1h 31m
62. Atlas,5.6, (55K),1h 58m
63. Arthur the King,7.0, (34K),1h 47m
64. Spellbound,5.6, (6.5K),1h 49m
65. Nautilus,6.6, (3.1K),N/A
66. Jurassic World: Chaos Theory,7.5, (3.1K),TV-PG
67. Batman: Caped Crusader,7.2, (15K),TV-14
68. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m
69. My Penguin Friend,6.7, (4.8K),1h 37m
70. Wind Breaker,7.5, (5K),TV-14
71. Supacell,7.0, (19K),TV-MA
72. Marvel Rivals,8.0, (941),T
73. Hitpig,5.1, (853),1h 26m
74. Dragon Age: The Veilguard,6.4, (2.2K),M
75. Winner,6.5, (2.3K),1h 43m
76. Monster Summer,5.7, (3.5K),1h 37m
77. Bandidos,6.6, (3.9K),TV-MA
78. Dead Boy Detectives,7.5, (21K),TV-MA
79. Indiana Jones and the Great Circle,9.0, (2K),T
80. Time Bandits,6.1, (6.5K),TV-PG
81. ZENSHU,6.6, (939),N/A
82. Terminator Zero,7.0, (12K),TV-MA
83. Renegade Nell,7.4, (9.8K),TV-14
84. Sausage Party: Foodtopia,5.7, (4.3K),TV-MA
85. No Way Up,4.6, (10K),1h 30m
86. Orion and the Dark,6.3, (17K),1h 33m
87. The Spiderwick Chronicles,5.2, (2.4K),N/A
88. Ishura,6.4, (773),TV-MA
89. The Unholy Trinity,7.9, (49),1h 33m
90. A Sloth Story,5.6, (188),1h 30m
91. Family Pack,5.5, (8.8K),1h 34m
92. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m
93. Dream Productions,7.5, (3.8K),TV-PG
94. The Best Christmas Pageant Ever,6.8, (6K),1h 39m
95. Lost on a Mountain in Maine,6.1, (1.1K),1h 38m
96. Tomb Raider: The Legend of Lara Croft,5.5, (6.9K),TV-14
97. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.3K),1h 33m
98. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.4K),1h 34m
99. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.8K),1h 22m
100. River of Blood,5.4, (1.6K),1h 26m
101. Now or Never!,2.1, (17K),N/A
102. The Empire,5.2, (1.2K),1h 50m
103. Bookworm,6.0, (1.8K),1h 43m
104. Ark: The Animated Series,6.4, (2K),TV-14
105. Sasquatch Sunset,5.4, (5.3K),1h 28m
106. Zorro,6.3, (2.7K),N/A
107. Thelma the Unicorn,5.7, (2.9K),1h 33m
108. Hanu Man,7.7, (29K),2h 38m
109. Buffalo Kids,6.6, (646),1h 33m
110. One Piece Log: Fish-Man Island Saga,7.6, (5.7K),N/A
111. Something in the Water,4.1, (4.5K),1h 26m
"112. I, the Executioner",6.3, (1.6K),1h 58m
113. Wistoria: Wand and Sword,7.5, (2.5K),TV-14
114. Raqa,5.9, (119),1h 47m
115. Kite Man: Hell Yeah!,7.2, (2.4K),TV-MA
116. Tales of the Teenage Mutant Ninja Turtles,6.9, (1.1K),TV-Y7
117. Jentry Chau vs. The Underworld,7.9, (1.5K),TV-PG
118. Ubel Blatt,5.1, (370),N/A
119. The Price of Money: A Largo Winch Adventure,5.0, (1.1K),1h 40m
120. One Piece Fan Letter,9.2, (18K),25m
121. That Christmas,6.8, (17K),1h 31m
122. Star Wars: Tales of the Empire,7.0, (13K),TV-PG
123. Ranma ½,7.9, (2.7K),TV-MA
124. Badland Hunters,5.9, (12K),1h 47m
125. Final Fantasy VII Rebirth,9.1, (1.5K),T
126. My Hero Academia: You're Next,7.0, (1.9K),1h 50m
127. Noah's Ark,4.3, (627),1h 36m
128. Rick and Morty: The Anime,3.0, (3.2K),TV-14
129. 1992,5.6, (1.9K),TV-MA
130. Silent Hill 2,9.2, (2.4K),M
131. Gundam: Requiem for Vengeance,6.5, (2.5K),TV-14
132. Failure Frame: I Became the Strongest and Annihilated Everything with Low-Level Spells,6.7, (1.4K),16+
133. Call of Duty: Black Ops 6,7.5, (1.4K),M
"134. I May Be a Guild Receptionist, but I'll Solo Any Boss to Clock Out on Time",6.4, (259),N/A
135. The Courier,6.0, (4.3K),1h 41m
136. Guest from the Future,6.0, (1.2K),2h 21m
137. Beheneko: The Elf-Girl's Cat is Secretly an S-Ranked Monster!,4.9, (316),TV-MA
138. Fairy Tail: 100 Years Quest,7.5, (1.4K),TV-14
139. Bogus Skill 'Fruitmaster': About That Time I Became Able to Eat Unlimited Numbers of Skill Fruits (That Kill You),5.9, (328),N/A
140. Go! Go! Loser Ranger!,7.0, (1.2K),TV-14
141. The Goat Life,7.1, (47K),2h 53m
142. Masters of the Universe: Revolution,7.5, (3.4K),TV-PG
143. Manjummel Boys,8.2, (27K),2h 15m
144. The Tiger's Apprentice,5.7, (2.1K),1h 24m
145. The Wages of Fear,4.6, (4.1K),1h 44m
146. The Twisters,2.5, (316),1h 26m
147. Ultraman: Rising,6.9, (6.2K),1h 57m
148. WondLa,7.4, (1.5K),TV-PG
149. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.2K),1h 34m
150. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.4K),1h 55m
151. Fairly OddParents: A New Wish,6.9, (1.1K),TV-Y7
152. Cult Killer,4.8, (2.7K),1h 45m
153. Until Dawn,8.0, (463),M
154. Primos,4.7, (475),TV-Y7
155. Angels Fallen: Warriors of Peace,4.9, (5.8K),1h 43m
156. The Lost Tiger,7.9, (40),1h 30m
157. Loner Life in Another World,6.3, (549),TV-14
158. Hot Wheels Let's Race,5.9, (222),TV-Y
159. Ronja the Robber's Daughter,6.5, (2.7K),TV-14
160. Batman: Arkham Shadow,8.3, (179),T
161. Star Wars: Outlaws,7.0, (1.3K),T
162. The Ren & Stimpy Show Reboot,5.9, (35),TV-14
163. The Gray House,8.9, (40),N/A
"164. The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible",7.2, (1.3K),N/A
165. The Unwanted Undead Adventurer,7.3, (1.7K),TV-14
166. Autumn and the Black Jaguar,5.6, (973),1h 40m
167. Operation Blood Hunt,3.4, (462),1h 33m
168. The Finnish Line,6.5, (809),1h 24m
169. Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 40m
