Title,Rating,Votes,Duration,Genre
1. Solo Leveling,8.5, (60K),0,action
2. Kraven the Hunter,5.4, (47K),127,action
3. The Day of the Jackal,8.2, (88K),0,action
4. Twisters,6.5, (161K),122,action
5. Gladiator II,6.5, (219K),148,action
6. Fallout,8.3, (302K),0,action
7. Sonic the Hedgehog 3,6.9, (53K),110,action
8. Pushpa: The Rule - Part 2,6.1, (54K),201,action
9. Shōgun,8.6, (211K),0,action
10. Venom: The Last Dance,6.0, (109K),110,action
11. Dune: Part Two,8.5, (615K),166,action
12. The Ministry of Ungentlemanly Warfare,6.8, (132K),122,action
13. Black Doves,7.2, (59K),0,action
14. Deadpool & Wolverine,7.6, (482K),128,action
15. Dune: Prophecy,7.3, (51K),0,action
16. The Gentlemen,8.0, (159K),0,action
17. Furiosa: A Mad Max Saga,7.5, (281K),148,action
18. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),134,action
19. Borderlands,4.7, (46K),101,action
20. Civil War,7.0, (233K),109,action
21. Elevation,5.6, (20K),91,action
22. The Beekeeper,6.3, (153K),105,action
23. Solo Leveling: ReAwakening,8.8, (8.6K),121,action
24. Carry-On,6.5, (161K),119,action
25. The Count of Monte-Cristo,7.6, (33K),178,action
26. The Fall Guy,6.8, (217K),126,action
27. William Tell,5.8, (1.9K),133,action
28. Dandadan,8.4, (29K),0,action
29. Skeleton Crew,7.1, (33K),0,action
30. Hellboy: The Crooked Man,4.5, (12K),99,action
31. Agatha All Along,7.2, (74K),0,action
32. Rebel Ridge,6.8, (86K),131,action
33. Secret Level,7.4, (25K),0,action
34. Damsel,6.1, (108K),110,action
35. Marco,6.9, (20K),145,action
36. Cross,7.2, (25K),0,action
37. Masters of the Air,7.8, (63K),0,action
38. Homestead,5.4, (3.4K),112,action
39. Rescue: HI-Surf,6.6, (1.9K),0,action
40. The Crow,4.7, (33K),111,action
41. Road House,6.2, (166K),121,action
42. Transformers One,7.6, (48K),104,action
43. Red One,6.3, (138K),123,action
44. Argylle,5.6, (92K),139,action
45. Avatar: The Last Airbender,7.2, (79K),0,action
46. Kingdom of the Planet of the Apes,6.9, (150K),145,action
47. The Killer's Game,5.8, (16K),104,action
48. X-Men '97,8.8, (43K),0,action
49. Freaky Tales,6.5, (377),106,action
50. Madame Web,4.0, (99K),116,action
51. Bad Boys: Ride or Die,6.5, (98K),115,action
52. The Acolyte,4.2, (131K),0,action
53. Old Guy,5.1, (1.9K),94,action
54. Godzilla x Kong: The New Empire,6.1, (120K),115,action
55. Love Lies Bleeding,6.6, (56K),104,action
56. Thelma,7.0, (22K),98,action
57. Creature Commandos,7.8, (17K),0,action
58. Dragon Ball Daima,7.9, (15K),0,action
59. Land of Bad,6.6, (50K),113,action
60. Kaiju No. 8,8.3, (18K),0,action
61. Dirty Angels,4.3, (3.2K),104,action
62. Mr. & Mrs. Smith,7.0, (50K),0,action
63. Aftermath,5.1, (3.6K),97,action
64. Law & Order Toronto: Criminal Intent,7.1, (1.3K),99,action
65. Monkey Man,6.8, (90K),121,action
66. Blitz,6.2, (16K),120,action
67. Homestead: The Series,5.8, (288),99,action
68. The Union,5.4, (52K),107,action
69. Uglies,4.7, (32K),100,action
70. Cash Out,4.8, (2.8K),92,action
71. Survive,4.6, (2.1K),90,action
72. Azrael,5.4, (10K),86,action
73. Drive-Away Dolls,5.4, (23K),84,action
74. Kung Fu Panda 4,6.3, (67K),94,action
75. The Killer,5.7, (12K),126,action
76. Those About to Die,6.7, (20K),99,action
