Title,Rating,Votes,Duration
1. Anora,7.6, (160K),2h 19m
2. Moana 2,6.7, (91K),1h 40m
3. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (2.7K),1h 31m
4. A Real Pain,7.1, (78K),1h 30m
5. Sonic the Hedgehog 3,6.9, (53K),1h 50m
6. Emilia Pérez,5.4, (85K),2h 12m
7. The Ministry of Ungentlemanly Warfare,6.8, (132K),2h 2m
8. Deadpool & Wolverine,7.6, (482K),2h 8m
9. My Dead Friend Zoe,6.7, (1.6K),1h 43m
10. Paddington in Peru,6.7, (18K),1h 46m
11. Riff Raff,5.9, (1.5K),1h 43m
12. Borderlands,4.7, (46K),1h 41m
13. Despicable Me 4,6.2, (63K),1h 34m
14. Saturday Night,6.9, (29K),1h 49m
15. Challengers,7.0, (152K),2h 11m
16. F*** Marry Kill,5.2, (2K),1h 37m
17. The Fall Guy,6.8, (217K),2h 6m
18. Kinds of Kindness,6.5, (58K),2h 44m
19. Beetlejuice Beetlejuice,6.7, (144K),1h 45m
20. Inside Out 2,7.5, (212K),1h 36m
21. A Different Man,6.9, (28K),1h 52m
22. The Idea of You,6.3, (72K),1h 55m
23. IF,6.4, (57K),1h 44m
24. Nightbitch,5.6, (19K),1h 39m
25. Fly Me to the Moon,6.6, (48K),2h 12m
26. Red One,6.3, (138K),2h 3m
27. Argylle,5.6, (92K),2h 19m
28. Y2K,4.8, (10K),1h 31m
29. My Old Ass,6.9, (38K),1h 29m
30. The Killer's Game,5.8, (16K),1h 44m
31. Freaky Tales,6.5, (377),1h 46m
32. Kneecap,7.6, (17K),1h 45m
33. Bad Boys: Ride or Die,6.5, (98K),1h 55m
34. It's What's Inside,6.6, (41K),1h 43m
35. Old Guy,5.1, (1.9K),1h 34m
36. Eephus,7.1, (361),1h 39m
37. Thelma,7.0, (22K),1h 38m
38. Ghostbusters: Frozen Empire,6.1, (92K),1h 55m
39. Friendship,7.4, (225),1h 40m
40. Superboys of Malegaon,8.0, (1.2K),2h 7m
41. Mean Girls,5.5, (37K),1h 52m
42. Misericordia,6.9, (1.7K),1h 44m
43. The Union,5.4, (52K),1h 47m
44. Night of the Zoopocalypse,6.3, (354),1h 31m
45. Wallace & Gromit: Vengeance Most Fowl,7.5, (33K),1h 22m
46. Bob Trevino Likes It,8.1, (372),1h 42m
47. Hard Truths,7.3, (4.7K),1h 37m
48. Miller's Girl,5.2, (23K),1h 33m
49. Snack Shack,7.0, (12K),1h 52m
50. Spermageddon,5.8, (632),1h 20m
51. Drive-Away Dolls,5.4, (23K),1h 24m
52. Harold and the Purple Crayon,5.7, (8K),1h 30m
53. Kung Fu Panda 4,6.3, (67K),1h 34m
54. The Instigators,6.2, (37K),1h 41m
55. Stree 2: Sarkate Ka Aatank,6.9, (41K),2h 27m
56. I Love You Forever,5.6, (142),1h 29m
57. Beverly Hills Cop: Axel F,6.4, (80K),1h 58m
58. Lift,5.5, (49K),1h 47m
59. A Family Affair,5.3, (36K),1h 51m
60. Distant,5.7, (3K),1h 27m
61. Rumours,5.0, (4.3K),1h 44m
62. The Garfield Movie,5.7, (24K),1h 41m
63. Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,8.5, (75),1h 42m
64. Greedy People,6.2, (11K),1h 52m
65. Skincare,5.7, (4.3K),1h 36m
66. The Visitor,4.3, (193),1h 41m
67. Get Away,5.3, (6.3K),1h 26m
68. The Marching Band,7.5, (2.2K),1h 43m
69. Ricky Stanicky,6.2, (55K),1h 53m
70. Goodrich,6.3, (5K),1h 50m
71. Brothers,5.4, (13K),1h 29m
72. Bloody Axe Wound,4.8, (599),1h 23m
73. Unfrosted,5.5, (34K),1h 37m
74. Spellbound,5.6, (6.5K),1h 49m
75. How to Make Millions Before Grandma Dies,8.0, (13K),2h 5m
76. Your Monster,6.4, (5.5K),1h 43m
77. Incoming,5.8, (13K),1h 31m
78. Sookshma Darshini,7.8, (9.6K),2h 22m
79. Upgraded,6.1, (29K),1h 44m
80. Sacramento,6.9, (137),1h 24m
81. This Is Me... Now,4.1, (7.1K),1h 5m
82. Modi: Three Days on the Wing of Madness,5.5, (448),1h 50m
83. Sister Midnight,6.6, (305),1h 47m
84. Irish Wish,5.2, (21K),1h 33m
85. Ghostlight,7.6, (5.6K),1h 55m
86. Dìdi,7.3, (12K),1h 33m
87. The Uninvited,5.9, (141),1h 37m
88. Jönssonligan kommer tillbaka,6.0, (1.1K),1h 44m
89. Jackpot!,5.8, (30K),1h 46m
90. The Mouse Trap,2.5, (3.1K),1h 20m
91. Sweethearts,5.5, (3.8K),1h 38m
92. The Grinch That Stole Bitches,6.9, (48),1h 14m
93. Find Me Falling,6.3, (13K),1h 33m
94. Hitpig,5.1, (853),1h 26m
95. Lisa Frankenstein,6.1, (28K),1h 41m
96. Manamey,5.5, (595),2h 35m
97. Winner,6.5, (2.3K),1h 43m
98. Our Little Secret,5.7, (23K),1h 41m
99. Mother of the Bride,4.8, (17K),1h 28m
100. My Favourite Cake,7.4, (7K),1h 37m
101. A Nice Indian Boy,7.2, (152),1h 36m
102. The Radleys,5.0, (2.7K),1h 55m
103. The American Society of Magical Negroes,3.7, (12K),1h 44m
104. On Becoming a Guinea Fowl,7.2, (710),1h 39m
105. Piece by Piece,6.9, (5.1K),1h 33m
106. Boot Camp,5.8, (1K),1h 34m
107. Holy Cow,7.2, (1.1K),1h 32m
108. Aavesham,7.8, (27K),2h 35m
109. The Problem with People,5.8, (349),1h 42m
110. We're All Gonna Die,8.3, (82),1h 50m
111. When Fall Is Coming,6.8, (1.3K),1h 44m
112. Universal Language,7.1, (1.1K),1h 29m
113. Summer Camp,4.5, (1.5K),1h 35m
114. Orion and the Dark,6.3, (17K),1h 33m
115. The Wonderful Story of Henry Sugar and Three More,7.1, (6.3K),1h 28m
116. Bhool Bhulaiyaa 3,4.7, (77K),2h 38m
117. Time Travel Is Dangerous,6.0, (98),1h 39m
118. Family Pack,5.5, (8.8K),1h 34m
119. The 4:30 Movie,6.0, (3.5K),1h 27m
120. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m
121. The Best Christmas Pageant Ever,6.8, (6K),1h 39m
122. Role Play,5.5, (19K),1h 40m
123. Madgaon Express,7.0, (41K),2h 23m
124. Candidatul perfect,6.1, (783),N/A
125. Reunion,5.6, (3.4K),1h 30m
126. The Fabulous Four,4.8, (1.5K),1h 38m
127. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.8K),1h 22m
128. Dear Santa,5.4, (18K),1h 47m
129. The Merry Gentlemen,4.8, (10K),1h 27m
130. This Time Next Year,5.6, (2.1K),1h 56m
131. Chosen Family,4.6, (268),1h 28m
132. The Gutter,5.4, (452),1h 32m
133. Let's Start a Cult,5.9, (1.4K),1h 30m
134. The Empire,5.2, (1.2K),1h 50m
135. Turn Me On,5.6, (448),1h 39m
136. Babes,6.3, (6.2K),1h 44m
