Title,Rating,Votes,Duration
1. Anora,7.6, (160K),2h 19m
2. The Substance,7.3, (284K),2h 21m
3. The Brutalist,7.5, (71K),3h 36m
4. Conclave,7.4, (135K),2h
5. A Complete Unknown,7.4, (62K),2h 21m
6. I'm Still Here,8.4, (97K),2h 17m
7. Gladiator II,6.5, (219K),2h 28m
8. A Real Pain,7.1, (78K),1h 30m
9. Babygirl,6.0, (48K),1h 54m
10. Pushpa: The Rule - Part 2,6.1, (54K),3h 21m
11. Mufasa: The Lion King,6.6, (48K),1h 58m
12. Parthenope,6.6, (9.5K),2h 17m
13. The Apprentice,7.1, (51K),2h 2m
14. Emilia Pérez,5.4, (85K),2h 12m
15. Dune: Part Two,8.5, (615K),2h 46m
16. Presence,6.1, (18K),1h 24m
17. Horizon: An American Saga - Chapter 1,6.7, (39K),3h 1m
18. It Ends with Us,6.4, (82K),2h 10m
19. Queen of the Ring,7.0, (856),2h 20m
20. The Order,6.8, (38K),1h 56m
21. My Dead Friend Zoe,6.7, (1.6K),1h 43m
22. Juror #2,7.0, (92K),1h 54m
23. The Last Showgirl,6.5, (9.2K),1h 28m
24. September 5,7.1, (21K),1h 35m
25. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),2h 14m
26. We Live in Time,7.0, (49K),1h 48m
27. Speak No Evil,6.8, (93K),1h 50m
28. Saturday Night,6.9, (29K),1h 49m
29. Challengers,7.0, (152K),2h 11m
30. Here,6.3, (18K),1h 44m
31. Nickel Boys,7.0, (17K),2h 20m
32. Megalopolis,4.7, (35K),2h 18m
33. The Count of Monte-Cristo,7.6, (33K),2h 58m
34. Queer,6.5, (18K),2h 17m
35. The Fall Guy,6.8, (217K),2h 6m
36. William Tell,5.8, (1.9K),2h 13m
37. Kinds of Kindness,6.5, (58K),2h 44m
38. The Outrun,6.9, (14K),1h 58m
39. Inside Out 2,7.5, (212K),1h 36m
40. The Assessment,7.3, (672),1h 54m
41. The Life of Chuck,7.7, (464),1h 50m
42. Small Things Like These,6.8, (21K),1h 38m
43. Joker: Folie à Deux,5.2, (157K),2h 18m
44. Rebel Ridge,6.8, (86K),2h 11m
45. The Six Triple Eight,6.7, (25K),2h 7m
46. A Different Man,6.9, (28K),1h 52m
47. Lucky Baskhar,8.0, (30K),2h 28m
48. The Penguin Lessons,7.2, (273),1h 50m
49. Maria,6.4, (18K),2h 4m
50. Homestead,5.4, (3.4K),1h 52m
51. A Quiet Place: Day One,6.3, (146K),1h 39m
52. The Idea of You,6.3, (72K),1h 55m
53. IF,6.4, (57K),1h 44m
54. Road House,6.2, (166K),2h 1m
55. Memoir of a Snail,7.8, (15K),1h 35m
56. The Girl with the Needle,7.5, (12K),2h 3m
57. My Old Ass,6.9, (38K),1h 29m
58. Kingdom of the Planet of the Apes,6.9, (150K),2h 25m
59. The Return,6.2, (7.6K),1h 56m
60. Freaky Tales,6.5, (377),1h 46m
61. The Seed of the Sacred Fig,7.6, (12K),2h 47m
62. Kneecap,7.6, (17K),1h 45m
63. Caddo Lake,6.8, (41K),1h 43m
64. Mon Potongo,6.8, (171),2h 29m
65. Eephus,7.1, (361),1h 39m
66. The Friend,6.2, (214),2h
67. McVeigh,4.6, (306),1h 30m
68. The Room Next Door,6.8, (18K),1h 47m
69. I Saw the TV Glow,5.8, (35K),1h 40m
70. Horizon: An American Saga - Chapter 2,7.1, (1.2K),3h 10m
71. Superboys of Malegaon,8.0, (1.2K),2h 7m
72. All We Imagine as Light,7.1, (9K),1h 58m
73. Dirty Angels,4.3, (3.2K),1h 44m
74. The Shrouds,5.8, (753),1h 59m
75. Reagan,6.2, (11K),2h 21m
76. Misericordia,6.9, (1.7K),1h 44m
77. Blitz,6.2, (16K),2h
78. Bird,7.0, (7.8K),1h 59m
79. Nr. 24,7.5, (14K),1h 51m
80. In a Violent Nature,5.6, (25K),1h 34m
81. Emmanuelle,4.2, (1.5K),1h 47m
82. Bob Trevino Likes It,8.1, (372),1h 42m
83. Hard Truths,7.3, (4.7K),1h 37m
84. Uglies,4.7, (32K),1h 40m
85. Spaceman,5.7, (42K),1h 47m
86. Miller's Girl,5.2, (23K),1h 33m
87. On Swift Horses,6.1, (183),1h 57m
88. Attack on Titan the Movie: The Last Attack,9.2, (14K),2h 25m
89. The Instigators,6.2, (37K),1h 41m
90. Young Hearts,8.1, (4.5K),1h 39m
91. I Love You Forever,5.6, (142),1h 29m
92. Lift,5.5, (49K),1h 47m
93. A Family Affair,5.3, (36K),1h 51m
94. Distant,5.7, (3K),1h 27m
95. Rumours,5.0, (4.3K),1h 44m
96. Maharaja,8.4, (65K),2h 21m
97. Mothers' Instinct,6.3, (20K),1h 34m
98. Culpa Tuya,5.2, (13K),1h 58m
99. The Forge,6.7, (4.6K),2h 4m
100. Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,8.5, (75),1h 42m
101. Killer Heat,5.6, (13K),1h 35m
102. Kalki 2898 AD,7.0, (66K),3h
103. Young Woman and the Sea,7.5, (17K),2h 9m
104. Absolution,5.2, (7.5K),1h 52m
105. Exhuma,6.9, (23K),2h 14m
106. The Fire Inside,6.7, (2.2K),1h 49m
107. Audrey's Children,9.0, (108),1h 50m
108. Die Alone,5.7, (2.7K),1h 31m
109. Bonhoeffer: Pastor. Spy. Assassin.,6.3, (3.4K),2h 13m
110. Guilty Pleasure,5.5, (87),1h 59m
111. Arcadian,5.5, (22K),1h 32m
112. Long Gone Heroes,5.2, (993),1h 41m
113. Vermiglio,6.9, (3.6K),1h 59m
114. The Marching Band,7.5, (2.2K),1h 43m
115. Unstoppable,6.8, (3.9K),1h 56m
116. Back to Black,6.3, (26K),2h 2m
117. Joy,7.1, (9K),1h 55m
118. Ordinary Angels,7.4, (15K),1h 58m
119. The Deliverance,5.1, (22K),1h 52m
120. The Devil's Bath,6.6, (5.9K),2h 1m
121. Lonely Planet,5.7, (11K),1h 34m
122. Atlas,5.6, (55K),1h 58m
123. Goodrich,6.3, (5K),1h 50m
124. The Girl in the Pool,4.3, (1.4K),1h 29m
125. The Damned,5.7, (3.7K),1h 29m
126. Arthur the King,7.0, (34K),1h 47m
127. Beating Hearts,7.0, (4.1K),2h 46m
128. How to Make Millions Before Grandma Dies,8.0, (13K),2h 5m
129. The Salt Path,8.0, (104),1h 55m
130. Canary Black,5.4, (11K),1h 41m
131. Love Me,5.2, (2.2K),1h 31m
132. Girls Will Be Girls,7.1, (2.3K),1h 58m
133. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m
134. Grafted,5.6, (2.1K),1h 36m
135. This Is Me... Now,4.1, (7.1K),1h 5m
136. Modi: Three Days on the Wing of Madness,5.5, (448),1h 50m
137. Sister Midnight,6.6, (305),1h 47m
138. Armor,3.5, (3.7K),1h 29m
139. Watchmen: Chapter I,7.0, (6.3K),1h 23m
140. The End,5.5, (1.6K),2h 28m
141. Black Dog,7.2, (2.4K),1h 56m
142. Santosh,7.0, (1.5K),2h 8m
143. The Children's Train,7.4, (6.8K),1h 46m
144. Ghostlight,7.6, (5.6K),1h 55m
145. Dìdi,7.3, (12K),1h 33m
146. The Uninvited,5.9, (141),1h 37m
147. My Penguin Friend,6.7, (4.8K),1h 37m
148. Being Maria,6.1, (541),1h 40m
149. Ask Me What You Want,3.6, (318),1h 54m
150. Vanvaas,6.7, (1.2K),2h 40m
151. Under Paris,5.2, (36K),1h 44m
152. Kishkindha Kaandam,8.0, (11K),2h 13m
153. La Cocina,7.2, (2.4K),2h 19m
154. Loveable,8.0, (1.4K),1h 41m
"155. Oh, Canada",5.7, (1.8K),1h 31m
156. Armand,6.3, (2.4K),1h 58m
157. Look Back,7.8, (14K),58m
158. Millers in Marriage,5.2, (335),1h 57m
159. Baby John,5.4, (17K),2h 39m
160. Winner,6.5, (2.3K),1h 43m
161. Blackwater Lane,4.6, (1.8K),1h 48m
162. A Sacrifice,5.1, (5.1K),1h 34m
163. Faith of Angels,5.9, (176),1h 38m
164. Bob Marley: One Love,6.2, (34K),1h 47m
165. Mother of the Bride,4.8, (17K),1h 28m
166. Inside,7.0, (220),1h 44m
167. My Favourite Cake,7.4, (7K),1h 37m
168. Crossing,7.4, (4.8K),1h 46m
169. The Tearsmith,5.2, (12K),1h 43m
170. Sebastian,6.7, (1.6K),1h 50m
171. Winter Spring Summer or Fall,6.7, (423),1h 37m
172. Succubus,4.6, (1.2K),1h 43m
173. A Nice Indian Boy,7.2, (152),1h 36m
174. Monsieur Aznavour,7.3, (2.2K),2h 13m
175. Souleymane's Story,7.7, (2.5K),1h 33m
176. Boneyard,4.1, (4.9K),1h 36m
177. Hagen,6.1, (1.1K),2h 19m
178. Omni Loop,5.6, (2.7K),1h 52m
179. On Becoming a Guinea Fowl,7.2, (710),1h 39m
180. Holy Cow,7.2, (1.1K),1h 32m
181. Lilies Not for Me,7.8, (81),1h 39m
182. Out of My Mind,7.4, (2.6K),1h 42m
183. Bring Them Down,6.8, (876),1h 46m
184. Mea Culpa,4.2, (7K),2h
185. Bramayugam,7.8, (14K),2h 19m
186. Hold Your Breath,5.3, (8.4K),1h 34m
187. Depravity,4.3, (933),1h 57m
188. The Thicket,5.8, (2.9K),1h 48m
189. Touch,7.4, (5.3K),2h 1m
190. Wild Diamond,6.3, (614),1h 43m
191. When Fall Is Coming,6.8, (1.3K),1h 44m
"192. The Way, My Way",6.6, (430),1h 38m
193. Universal Language,7.1, (1.1K),1h 29m
194. The Piano Lesson,6.2, (4.8K),2h 7m
195. The Most Precious of Cargoes,7.2, (758),1h 21m
196. Bonjour Tristesse,6.0, (85),1h 50m
197. The Mehta Boys,7.2, (2.3K),1h 56m
198. The Dead Thing,4.7, (838),1h 34m
199. Unsung Hero,7.0, (4.9K),1h 53m
200. No Way Up,4.6, (10K),1h 30m
201. Cabrini,7.3, (8.5K),2h 22m
202. Mary,5.2, (8K),1h 52m
203. The Redemption of Sin,6.0, (153),1h 56m
204. Damaged,4.7, (7.2K),1h 37m
205. The Wonderful Story of Henry Sugar and Three More,7.1, (6.3K),1h 28m
206. Scoop,6.5, (20K),1h 42m
207. Colors of Evil: Red,6.4, (8.3K),1h 51m
208. Kaulayaw,4.4, (147),1h 35m
209. Midas Man,6.4, (1.5K),1h 52m
210. Watchmen: Chapter II,7.0, (2.8K),1h 30m
211. Handling the Undead,5.4, (4.2K),1h 37m
212. 11 Rebels,6.2, (291),2h 35m
213. Singham Again,4.8, (75K),2h 24m
214. Rob Peace,6.6, (1.9K),2h
215. The Best Christmas Pageant Ever,6.8, (6K),1h 39m
216. Lost on a Mountain in Maine,6.1, (1.1K),1h 38m
217. Waves,8.1, (1.5K),2h 11m
218. Madgaon Express,7.0, (41K),2h 23m
219. Escape from Germany,5.3, (912),1h 37m
220. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.4K),1h 34m
221. Goldilocks and the Two Bears,6.2, (36),2h 16m
222. Sons,6.5, (1.6K),1h 40m
223. Sector 36,7.1, (25K),2h 3m
224. Exhibiting Forgiveness,7.0, (1.1K),1h 57m
225. High Tide,6.6, (507),1h 41m
226. Hounds of War,4.5, (1.7K),1h 35m
227. Now or Never!,2.1, (17K),N/A
228. Chosen Family,4.6, (268),1h 28m
229. B.O.Y.: Bruises of Yesterday,7.7, (343),1h 27m
230. Amaran,8.2, (18K),2h 47m
231. Rez Ball,6.3, (2.4K),1h 51m
232. All of You,7.4, (79),1h 38m
233. Last Night on Earth,4.8, (339),1h 26m
234. The Empire,5.2, (1.2K),1h 50m
235. Turtles All the Way Down,6.6, (6.8K),1h 51m
236. Tyler Perry's Divorce in the Black,4.6, (3.5K),2h 23m
237. Bookworm,6.0, (1.8K),1h 43m
238. Kontra,4.4, (263),1h 41m
239. Goebbels and the Führer,6.7, (1.9K),2h 15m
240. Grand Tour,6.5, (1.4K),2h 8m
241. Big World,7.4, (1.1K),2h 11m
242. Pedro Páramo,6.3, (2.8K),2h 10m
243. I Heard You Buy Souls,2.2, (33),1h 28m
244. Four Letters of Love,6.9, (27),2h 5m
245. Code 8: Part II,5.7, (16K),1h 40m
246. Baby,7.5, (395),1h 47m
247. The Boy with Pink Trousers,6.8, (537),1h 54m
248. Suncoast,6.7, (7.2K),1h 49m
249. I Want to Talk,7.1, (2K),2h 2m
250. Marco,6.8, (1.1K),1h 48m
"251. From Hilde, with Love",6.9, (806),2h 5m
252. Swimming Home,4.9, (376),1h 39m
253. Let Go,7.0, (6.3K),1h 50m
254. I Wish You All the Best,6.9, (70),1h 32m
255. Here Now,4.9, (343),1h 58m
256. Crosspoint,7.2, (30),1h 40m
257. The Thundermans Return,5.0, (1.8K),1h 10m
258. On Falling,7.4, (346),1h 44m
259. Something in the Water,4.1, (4.5K),1h 26m
260. Hey Joe,6.8, (120),1h 57m
261. The Greatest Hits,6.2, (7.3K),1h 34m
262. Darkest Miriam,6.9, (30),1h 27m
263. Fear,8.5, (2.8K),1h 55m
264. The Price of Money: A Largo Winch Adventure,5.0, (1.1K),1h 40m
265. Shaitaan,6.5, (54K),2h 12m
266. The Sand Castle,4.7, (1.6K),1h 38m
267. Bosco,5.6, (3.9K),1h 39m
268. Ponyboi,5.7, (271),1h 43m
269. Maharaj,6.5, (15K),2h 11m
270. Waltzing with Brando,8.6, (319),1h 44m
271. Good One,6.7, (2.4K),1h 29m
272. The New Year That Never Came,8.2, (4.9K),2h 18m
