Title,Rating,Votes,Duration,Genre
1. Solo Leveling,8.5, (60K),TV-MA,action
2. Kraven the Hunter,5.4, (47K),2h 7m,action
3. The Day of the Jackal,8.2, (88K),TV-MA,action
4. Twisters,6.5, (161K),2h 2m,action
5. Gladiator II,6.5, (219K),2h 28m,action
6. Fallout,8.3, (302K),TV-MA,action
7. Sonic the Hedgehog 3,6.9, (53K),1h 50m,action
8. Pushpa: The Rule - Part 2,6.1, (54K),3h 21m,action
9. Shōgun,8.6, (211K),TV-MA,action
10. Venom: The Last Dance,6.0, (109K),1h 50m,action
11. Dune: Part Two,8.5, (615K),2h 46m,action
12. The Ministry of Ungentlemanly Warfare,6.8, (132K),2h 2m,action
13. Black Doves,7.2, (59K),TV-MA,action
14. Deadpool & Wolverine,7.6, (482K),2h 8m,action
15. Dune: Prophecy,7.3, (51K),TV-MA,action
16. The Gentlemen,8.0, (159K),TV-MA,action
17. Furiosa: A Mad Max Saga,7.5, (281K),2h 28m,action
18. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),2h 14m,action
19. Borderlands,4.7, (46K),1h 41m,action
20. Civil War,7.0, (233K),1h 49m,action
21. Elevation,5.6, (20K),1h 31m,action
22. The Beekeeper,6.3, (153K),1h 45m,action
23. Solo Leveling: ReAwakening,8.8, (8.6K),2h 1m,action
24. Carry-On,6.5, (161K),1h 59m,action
25. The Count of Monte-Cristo,7.6, (33K),2h 58m,action
26. The Fall Guy,6.8, (217K),2h 6m,action
27. William Tell,5.8, (1.9K),2h 13m,action
28. Dandadan,8.4, (29K),TV-MA,action
29. Skeleton Crew,7.1, (33K),TV-PG,action
30. Hellboy: The Crooked Man,4.5, (12K),1h 39m,action
31. Agatha All Along,7.2, (74K),TV-14,action
32. Rebel Ridge,6.8, (86K),2h 11m,action
33. Secret Level,7.4, (25K),TV-14,action
34. Damsel,6.1, (108K),1h 50m,action
35. Marco,6.9, (20K),2h 25m,action
36. Cross,7.2, (25K),TV-MA,action
37. Masters of the Air,7.8, (63K),TV-MA,action
38. Homestead,5.4, (3.4K),1h 52m,action
39. Rescue: HI-Surf,6.6, (1.9K),TV-14,action
40. The Crow,4.7, (33K),1h 51m,action
41. Road House,6.2, (166K),2h 1m,action
42. Transformers One,7.6, (48K),1h 44m,action
43. Red One,6.3, (138K),2h 3m,action
44. Argylle,5.6, (92K),2h 19m,action
45. Avatar: The Last Airbender,7.2, (79K),TV-PG,action
46. Kingdom of the Planet of the Apes,6.9, (150K),2h 25m,action
47. The Killer's Game,5.8, (16K),1h 44m,action
48. X-Men '97,8.8, (43K),TV-14,action
49. Freaky Tales,6.5, (377),1h 46m,action
50. Madame Web,4.0, (99K),1h 56m,action
51. Bad Boys: Ride or Die,6.5, (98K),1h 55m,action
52. The Acolyte,4.2, (131K),TV-14,action
53. Old Guy,5.1, (1.9K),1h 34m,action
54. Godzilla x Kong: The New Empire,6.1, (120K),1h 55m,action
